Population,Garden,Growth,Offset,Offset_sigma,rawClimDist,rawClimDist_sigma
AB,MD,29.4665972292834,0.0759409442543983,0.994129021617243,12.5190331292585,2.74529349918131
AB,NC,24.530924884,0.102947317063808,1.10913234626386,17.2100918371578,3.73999979809319
AB,VT,28.4981331661238,0.182910680770874,1.27781016693978,15.2709706264107,3.30036631867642
ALB,MD,28.8140257173236,0.314777761697769,1.68562743073473,9.48738752431774,2.13753652994058
ALB,NC,24.1725785409884,0.391782879829407,2.63368751736397,17.5064295701492,3.81012783673459
ALB,VT,27.9129551814564,0.292086452245712,1.55717947440051,10.1371780345495,2.25658587954787
APP,MD,29.4715275993901,0.319521367549896,1.72107792814072,11.3884430383938,2.49803686663422
APP,NC,22.7570264880171,0.39737144112587,2.71268143529425,18.9069235796814,4.16637385037222
APP,VT,27.4865041119903,0.295691609382629,1.58183377547228,12.2546157081121,2.68462776782158
ASC,MD,25.9129749147035,0.315796226263046,1.69288599880769,10.2589295846469,2.27968083485114
ASC,NC,22.2835928075101,0.393400698900223,2.65682044608148,18.0257943168128,3.94201634774711
ASC,VT,26.7156947362031,0.29220125079155,1.55806434070152,11.0943668666688,2.44035881717645
B,MD,31.1333665437151,0.292492628097534,1.56028305604344,8.14996251647438,1.90577452485443
B,NC,24.1742798531502,0.368026494979858,2.3273188800753,16.1224200831329,3.46142739675685
B,VT,26.1655347734578,0.274603575468063,1.44611398588831,8.73668106566481,2.01156262146199
BAL,MD,28.1724956678247,0.316966891288757,1.70152329173706,10.4666367459616,2.31954558392025
BAL,NC,25.8967931860174,0.394480347633362,2.67201052816881,18.2914157294839,4.01021373475624
BAL,VT,27.9567080926322,0.293733179569244,1.56935275656437,11.1031306876368,2.442070128906
BBE,MD,28.6083191687365,0.301354557275772,1.61045347817172,9.13936759839005,2.07868362095437
BBE,NC,22.4738480076125,0.364354193210602,2.28121753389269,17.0447373754095,3.6967115564371
BBE,VT,26.8538452756824,0.305083304643631,1.62853786023635,9.71517187756693,2.17729179749577
BER,MD,28.2732703583012,0.316358089447021,1.69698983933195,10.4659019317024,2.31941233477666
BER,NC,23.9213049874683,0.393554627895355,2.65903443240444,18.2374372900186,3.99631353921817
BER,VT,27.9298062267369,0.293165385723114,1.56530769149249,10.8243062071117,2.38812452409321
BFA,MD,30.4621292886933,0.0709480419754982,0.961385957071855,9.19204676986717,2.08739274157439
BFA,NC,25.4953693225146,0.108433872461319,1.13432529452601,16.671000442992,3.60282804639268
BFA,VT,27.8220615811289,0.175865635275841,1.27050882510572,11.2435778687629,2.46986118909681
BLA,MD,34.6411458143536,0.0462330691516399,0.680940527959299,7.61576503327478,1.79543818269322
BLA,NC,28.8522872040556,0.123041614890099,1.19443626919526,15.3030889556661,3.30568984318221
BLA,VT,31.4297119272244,0.134967982769012,1.22031510808482,8.61791744686131,1.99134871474752
BRA,MD,32.5987340584794,0.0753968581557274,0.990961950813938,7.91749806814501,1.85968868175817
BRA,NC,26.9313231751117,0.149586662650108,1.24292309862612,15.632522470876,3.36344836776534
BRA,VT,30.1199160207754,0.142526209354401,1.23396695558912,8.90588235447155,2.03997218962309
BRB,MD,31.7355004193684,0.0671991556882858,0.93051215409743,8.76699418203876,2.01671315360344
BRB,NC,25.5796263334913,0.0969996452331543,1.09003180019385,15.6373190576516,3.36427840658173
BRB,VT,28.9109554969898,0.176143661141396,1.27082908522748,10.6183854133602,2.3486768934234
BRU,MD,34.0983780033661,0.122805140912533,1.19386842772543,7.03715878411376,1.66227517158434
BRU,NC,27.575029924214,0.194798246026039,1.29178437560967,15.1494332849758,3.27979222513017
BRU,VT,31.9705432996743,0.159663632512093,1.25245137610353,8.14398059475087,1.90462160723944
CAM,MD,26.7283440209473,0.321041494607925,1.73350548479884,12.1832445649308,2.66792706181643
CAM,NC,22.2500143967759,0.399042069911957,2.73573150885804,19.6541446958435,4.38288941834109
CAM,VT,26.8309781847242,0.296766042709351,1.58781814836571,12.9146780134247,2.83554908849402
CR,MD,29.2008857555085,0.0970074534416199,1.09005792190414,9.77234270687034,2.18768164191409
CR,NC,23.713543237232,0.166170835494995,1.2595053823764,15.8346673311378,3.40023237108992
CR,VT,29.5226421228216,0.138739600777626,1.22792291136103,12.7116809220194,2.78930100798449
CRA,MD,30.2973908015806,0.0629109442234039,0.891074296971438,7.13961076752665,1.68680341329463
CRA,NC,27.934378962389,0.0880768969655037,1.05629761484169,14.3248225226624,3.1237913172566
CRA,VT,27.7373670632738,0.174636140465736,1.26909965615108,9.26859889372395,2.10014967985614
CRR,MD,31.398079122052,0.0655634254217148,0.91570668718933,7.33224702736307,1.73177546215626
CRR,NC,26.926685533094,0.159678906202316,1.25246562199421,14.9031181439196,3.23598233729517
CRR,VT,28.293743346245,0.106899745762348,1.12621528717251,8.65832099296296,1.99829675762282
DG,MD,29.5658385457401,0.0745187029242516,0.985649994219515,10.0967186189672,2.24876192931208
DG,NC,25.0982552176181,0.133863151073456,1.21789479522982,16.2658189638001,3.49688631221291
DG,VT,28.3151723495486,0.152984917163849,1.24649336701534,13.0048378861939,2.85592189524031
EQU,MD,27.6931917349706,0.315074115991592,1.68769348600399,10.4633402003369,2.31893610428756
EQU,NC,23.0851418426198,0.392735034227371,2.64737763716913,18.0063818274536,3.93696032227756
EQU,VT,27.4861191811308,0.291354596614838,1.55137862769398,11.356614354421,2.49193559465654
ESC,MD,28.711314351768,0.284728497266769,1.49880028048447,7.30076858371437,1.72457321519256
ESC,NC,24.0621178065192,0.36352476477623,2.27129216658074,15.6015794474516,3.35787374655894
