cellindex,x,y,CMD,DD_0,DD18,eFFP,EXT,MAR,MSP,PAS,PET,RH,TD
132429,-66.25,48.86949801,0,1734,14,253,300,125,536,593,435.0390625,69,292
132432,-66.125,48.86949801,0,1645,16,256,302,117,523,556,442.1409912,69,289
132465,-64.75,48.86949801,1,1407,23,259,308,129,481,539,468.6266785,69,278
133306,-67.08333334,48.82783134,21,1489,27,258,317,121,475,455,501.0647583,66,292
133322,-66.41666667,48.82783134,0,1690,15,255,303,124,527,565,445.5326538,68,292
133323,-66.375,48.82783134,0,1525,21,258,307,122,502,496,462.6944275,69,289
133327,-66.20833334,48.82783134,0,1656,16,255,304,125,524,558,444.8907471,69,291
133329,-66.125,48.82783134,0,1605,18,256,305,125,516,542,450.6385498,69,290
133330,-66.08333334,48.82783134,0,1498,23,258,308,120,500,494,461.6513062,69,288
133363,-64.70833334,48.82783134,11,1305,29,261,314,118,461,494,489.3564758,69,277
133364,-64.66666667,48.82783134,19,1235,35,263,318,120,448,460,501.4075928,69,276
133374,-64.25,48.82783134,18,1152,35,264,316,130,434,440,500.5272217,70,269
134052,-73.375,48.78616468,23,1997,34,256,335,125,521,403,499.9934082,60,342
134203,-67.08333334,48.78616468,23,1481,27,258,318,123,475,453,504.2809448,65,292
134205,-67,48.78616468,14,1508,25,257,316,124,485,468,493.5576782,66,291
134213,-66.66666667,48.78616468,0,1619,18,256,307,125,514,527,462.5964661,68,292
134214,-66.625,48.78616468,0,1595,19,256,308,121,511,519,463.7598877,68,292
134217,-66.5,48.78616468,0,1558,21,257,307,118,506,504,464.4408264,68,291
134220,-66.375,48.78616468,0,1525,22,258,308,126,504,496,464.6168213,69,289
134223,-66.25,48.78616468,0,1659,17,255,303,123,526,563,445.8556824,69,291
134228,-66.04166667,48.78616468,0,1511,22,258,308,114,503,506,459.5287781,69,288
134230,-65.95833334,48.78616468,0,1659,16,255,304,130,528,580,442.5092163,69,290
134231,-65.91666667,48.78616468,0,1635,17,256,303,129,523,572,444.9405823,69,289
134236,-65.70833334,48.78616468,0,1538,20,257,306,120,511,546,452.5904846,70,286
134241,-65.5,48.78616468,0,1548,19,257,305,121,514,568,449.7101135,70,285
134243,-65.41666667,48.78616468,0,1485,21,258,307,124,502,544,460.7897339,70,283
134244,-65.375,48.78616468,0,1447,23,259,309,127,495,530,465.6401672,70,282
134252,-65.04166667,48.78616468,1,1406,24,259,310,120,486,533,472.4012146,69,279
134258,-64.79166667,48.78616468,23,1192,40,264,321,128,443,442,510.9003601,69,276
134259,-64.75,48.78616468,26,1174,42,264,322,120,438,435,514.6274414,69,276
134260,-64.70833334,48.78616468,28,1171,42,264,321,121,436,434,517.3638306,69,276
134261,-64.66666667,48.78616468,26,1170,43,264,321,122,435,433,517.1135864,69,276
134262,-64.625,48.78616468,27,1177,42,264,321,116,434,438,515.3742065,69,276
134263,-64.58333334,48.78616468,31,1143,45,264,323,116,428,427,522.3588867,68,276
134266,-64.45833334,48.78616468,31,1143,45,264,323,120,425,427,521.8582764,69,276
135100,-67.08333334,48.74449801,17,1543,25,256,317,120,488,479,498.5126648,65,294
135119,-66.29166667,48.74449801,3,1422,28,260,312,121,488,451,478.2599792,69,288
135120,-66.25,48.74449801,0,1504,23,258,309,124,502,492,466.2289124,69,290
135121,-66.20833334,48.74449801,0,1492,24,259,310,123,502,488,467.5154114,69,289
135122,-66.16666667,48.74449801,0,1502,23,258,309,127,502,497,464.1366272,69,288
135123,-66.125,48.74449801,0,1510,23,258,309,126,504,501,463.903595,69,289
135132,-65.75,48.74449801,0,1500,22,258,308,125,507,525,458.9040833,69,286
135133,-65.70833334,48.74449801,0,1534,20,257,307,126,512,546,457.4028931,69,286
135134,-65.66666667,48.74449801,0,1548,19,257,306,127,514,558,454.0479736,69,286
135138,-65.5,48.74449801,0,1555,19,257,305,125,517,575,450.4710388,69,285
135139,-65.45833334,48.74449801,0,1527,20,257,306,125,513,566,452.8929443,70,285
135146,-65.16666667,48.74449801,0,1446,23,259,309,121,497,550,467.1348572,69,281
135151,-64.95833334,48.74449801,4,1353,27,260,313,116,480,517,482.2017822,69,279
135153,-64.875,48.74449801,1,1391,25,259,311,115,487,541,473.6699829,69,279
135155,-64.79166667,48.74449801,10,1299,31,261,315,119,469,500,491.742981,69,277
135156,-64.75,48.74449801,12,1276,32,262,317,119,462,489,495.4246521,69,277
135158,-64.66666667,48.74449801,16,1257,34,262,317,121,456,483,499.360321,69,277
135863,-72.66666667,48.70283134,91,1672,85,264,357,123,449,289,562.8198242,61,342
135892,-71.45833334,48.70283134,47,1668,65,262,347,125,487,308,551.2186279,61,336
135898,-71.20833334,48.70283134,32,1736,53,260,343,123,510,344,535.3726196,61,335
135922,-70.20833334,48.70283134,0,1982,24,253,321,127,559,510,473.8338318,62,329
135991,-67.33333334,48.70283134,43,1430,33,258,326,124,455,420,531.6526489,63,293
135998,-67.04166667,48.70283134,3,1680,19,253,311,138,513,537,479.0011597,65,297
135999,-67,48.70283134,2,1659,20,254,312,123,512,531,479.5053406,65,295
136013,-66.41666667,48.70283134,2,1469,26,259,313,120,495,469,477.8979492,69,289
136015,-66.33333334,48.70283134,3,1423,28,260,314,123,489,451,480.9567261,69,288
136016,-66.29166667,48.70283134,11,1353,33,262,315,124,476,418,489.6109009,69,286
136017,-66.25,48.70283134,14,1314,38,263,318,123,469,401,494.0412292,69,286
